country_code,year,gdp_usd
IND,2006,1343.00
JPN,2006,23458.00
NGA,2006,1230.00
PAK,2006,895.00
CHN,2007,7722.00
GBR,2007,28727.00
FRA,2007,26935.00
KOR,2007,21622.00
BGD,2007,1544.00
AUS,2007,37314.00
IND,2007,1390.00
JPN,2007,24279.00
NGA,2007,1273.00
PAK,2007,927.00
USA,2007,43368.00
IDN,2007,2687.00
BRA,2007,5498.00
DEU,2007,31630.00
ITA,2007,21993.00
ITA,2008,22763.00
CHN,2008,7993.00
GBR,2008,29732.00
FRA,2008,27878.00
KOR,2008,22379.00
BGD,2008,1599.00
AUS,2008,38620.00
IND,2008,1439.00
JPN,2008,25129.00
NGA,2008,1317.00
PAK,2008,959.00
USA,2008,44886.00
IDN,2008,2781.00
BRA,2008,5691.00
DEU,2008,32737.00
USA,2009,46457.00
IDN,2009,2879.00
BRA,2009,5890.00
DEU,2009,33883.00
ITA,2009,23559.00
CHN,2009,8272.00
GBR,2009,30773.00
FRA,2009,28854.00
KOR,2009,23162.00
BGD,2009,1654.00
AUS,2009,39972.00
IND,2009,1489.00
JPN,2009,26008.00
NGA,2009,1363.00
PAK,2009,993.00
JPN,2010,26918.00
NGA,2010,1411.00
PAK,2010,1027.00
USA,2010,48083.00
IDN,2010,2980.00
BRA,2010,6096.00
DEU,2010,35069.00
ITA,2010,24384.00
CHN,2010,8562.00
GBR,2010,31850.00
FRA,2010,29864.00
KOR,2010,23973.00
BGD,2010,1712.00
AUS,2010,41371.00
IND,2010,1541.00
IDN,2011,3084.00
BRA,2011,6309.00
DEU,2011,36297.00
ITA,2011,25238.00
CHN,2011,8861.00
GBR,2011,32965.00
FRA,2011,30909.00
KOR,2011,24812.00
BGD,2011,1772.00
AUS,2011,42819.00
IND,2011,1595.00
JPN,2011,27861.00
NGA,2011,1460.00
PAK,2011,1063.00
USA,2011,49766.00
DEU,2012,37567.00
ITA,2012,26121.00
CHN,2012,9172.00
GBR,2012,34118.00
FRA,2012,31991.00
KOR,2012,25681.00
BGD,2012,1834.00
AUS,2012,44317.00
IND,2012,1651.00
JPN,2012,28836.00
NGA,2012,1511.00
PAK,2012,1101.00
USA,2012,51508.00
IDN,2012,3192.00
BRA,2012,6530.00
USA,2013,53311.00
IDN,2013,3303.00
BRA,2013,6759.00
DEU,2013,38882.00
ITA,2013,27035.00
CHN,2013,9493.00
GBR,2013,35313.00
FRA,2013,33110.00
KOR,2013,26579.00
BGD,2013,1899.00
AUS,2013,45868.00
IND,2013,1709.00
JPN,2013,29845.00
NGA,2013,1564.00
PAK,2013,1139.00
CHN,2014,9825.00
GBR,2014,36549.00
FRA,2014,34269.00
KOR,2014,27510.00
BGD,2014,1965.00
AUS,2014,47474.00
IND,2014,1768.00
JPN,2014,30889.00
NGA,2014,1619.00
PAK,2014,1179.00
USA,2014,55177.00
IDN,2014,3419.00
BRA,2014,6995.00
DEU,2014,40243.00
ITA,2014,27981.00
CHN,2015,10169.00
GBR,2015,37828.00
FRA,2015,35469.00
KOR,2015,28473.00
BGD,2015,2034.00
AUS,2015,49135.00
IND,2015,1830.00
JPN,2015,31971.00
NGA,2015,1676.00
PAK,2015,1220.00
USA,2015,57108.00
IDN,2015,3539.00
BRA,2015,7240.00
DEU,2015,41651.00
ITA,2015,28961.00
USA,2016,59107.00
IDN,2016,3663.00
BRA,2016,7494.00
DEU,2016,43109.00
ITA,2016,29974.00
CHN,2016,10525.00
GBR,2016,39152.00
FRA,2016,36710.00
KOR,2016,29469.00
BGD,2016,2105.00
AUS,2016,50855.00
IND,2016,1894.00
JPN,2016,33090.00
NGA,2016,1734.00
PAK,2016,1263.00
USA,2017,61175.00
IDN,2017,3791.00
BRA,2017,7756.00
DEU,2017,44618.00
ITA,2017,31023.00
CHN,2017,10893.00
GBR,2017,40522.00
FRA,2017,37995.00
KOR,2017,30500.00
BGD,2017,2179.00
AUS,2017,52635.00
IND,2017,1961.00
JPN,2017,34248.00
NGA,2017,1795.00
PAK,2017,1307.00
KOR,2018,31568.00
BGD,2018,2255.00
AUS,2018,54477.00
IND,2018,2029.00
JPN,2018,35446.00
NGA,2018,1858.00
PAK,2018,1353.00
USA,2018,63316.00
IDN,2018,3923.00
BRA,2018,8027.00
DEU,2018,46179.00
ITA,2018,32109.00
CHN,2018,11274.00
GBR,2018,41940.00
FRA,2018,39325.00
DEU,2019,47796.00
ITA,2019,33233.00
CHN,2019,11669.00
GBR,2019,43408.00
FRA,2019,40701.00
KOR,2019,32673.00
BGD,2019,2334.00
AUS,2019,56384.00
IND,2019,2100.00
JPN,2019,36687.00
NGA,2019,1923.00
PAK,2019,1400.00
USA,2019,65532.00
IDN,2019,4061.00
BRA,2019,8308.00
NGA,2020,1990.00
PAK,2020,1449.00
USA,2020,67826.00
IDN,2020,4203.00
BRA,2020,8599.00
DEU,2020,49469.00
ITA,2020,34396.00
CHN,2020,12077.00
GBR,2020,44928.00
FRA,2020,42126.00
KOR,2020,33816.00
BGD,2020,2415.00
AUS,2020,58357.00
IND,2020,2174.00
JPN,2020,37971.00
CHN,2021,12500.00
GBR,2021,46500.00
FRA,2021,43600.00
KOR,2021,35000.00
BGD,2021,2500.00
AUS,2021,60400.00
IND,2021,2250.00
JPN,2021,39300.00
NGA,2021,2060.00
PAK,2021,1500.00
USA,2021,70200.00
IDN,2021,4350.00
BRA,2021,8900.00
DEU,2021,51200.00
ITA,2021,35600.00
