state_code,state_name,sex,urban,age_group,education,prevalence_pct,lower,upper,est_cases,population
IN-JK,Jammu and Kashmir,Both,All,75-79,Secondary,11.22,9.20,13.69,4847,43200
IN-JK,Jammu and Kashmir,Both,All,75-79,Higher,8.42,6.90,10.27,3637,43200
IN-JK,Jammu and Kashmir,Both,All,80-84,All,26.40,21.65,32.21,57024,216000
IN-JK,Jammu and Kashmir,Both,All,80-84,None,35.00,28.70,42.70,15119,43200
IN-JK,Jammu and Kashmir,Both,All,80-84,Primary,27.72,22.73,33.82,11975,43200
IN-JK,Jammu and Kashmir,Both,All,80-84,Middle,21.12,17.32,25.77,9123,43200
IN-JK,Jammu and Kashmir,Both,All,80-84,Secondary,15.84,12.99,19.32,6842,43200
IN-JK,Jammu and Kashmir,Both,All,80-84,Higher,11.88,9.74,14.49,5132,43200
IN-JK,Jammu and Kashmir,Both,All,85+,All,35.00,28.70,42.70,75600,216000
IN-JK,Jammu and Kashmir,Both,All,85+,None,35.00,28.70,42.70,15119,43200
IN-JK,Jammu and Kashmir,Both,All,85+,Primary,35.00,28.70,42.70,15119,43200
IN-JK,Jammu and Kashmir,Both,All,85+,Middle,29.04,23.81,35.43,12545,43200
IN-JK,Jammu and Kashmir,Both,All,85+,Secondary,21.78,17.86,26.57,9408,43200
IN-JK,Jammu and Kashmir,Both,All,85+,Higher,16.33,13.39,19.92,7054,43200
IN-JK,Jammu and Kashmir,Both,Urban,60+,All,9.02,7.40,11.00,34636,384000
IN-JK,Jammu and Kashmir,Both,Urban,60+,None,12.63,10.36,15.41,9699,76800
IN-JK,Jammu and Kashmir,Both,Urban,60+,Primary,9.47,7.77,11.55,7272,76800
IN-JK,Jammu and Kashmir,Both,Urban,60+,Middle,7.22,5.92,8.81,5544,76800
IN-JK,Jammu and Kashmir,Both,Urban,60+,Secondary,5.41,4.44,6.60,4154,76800
IN-JK,Jammu and Kashmir,Both,Urban,60+,Higher,4.06,3.33,4.95,3118,76800
IN-JK,Jammu and Kashmir,Both,Urban,60-64,All,4.06,3.33,4.95,2806,69120
IN-JK,Jammu and Kashmir,Both,Urban,60-64,None,5.68,4.66,6.93,785,13824
IN-JK,Jammu and Kashmir,Both,Urban,60-64,Primary,4.26,3.49,5.20,588,13824
IN-JK,Jammu and Kashmir,Both,Urban,60-64,Middle,3.25,2.67,3.97,449,13824
IN-JK,Jammu and Kashmir,Both,Urban,60-64,Secondary,2.44,2.00,2.98,337,13824
IN-JK,Jammu and Kashmir,Both,Urban,60-64,Higher,1.83,1.50,2.23,252,13824
IN-JK,Jammu and Kashmir,Both,Urban,65-69,All,6.77,5.55,8.26,4679,69120
IN-JK,Jammu and Kashmir,Both,Urban,65-69,None,9.47,7.77,11.55,1309,13824
IN-JK,Jammu and Kashmir,Both,Urban,65-69,Primary,7.10,5.82,8.66,981,13824
IN-JK,Jammu and Kashmir,Both,Urban,65-69,Middle,5.41,4.44,6.60,747,13824
IN-JK,Jammu and Kashmir,Both,Urban,65-69,Secondary,4.06,3.33,4.95,561,13824
IN-JK,Jammu and Kashmir,Both,Urban,65-69,Higher,3.04,2.49,3.71,420,13824
IN-JK,Jammu and Kashmir,Both,Urban,70-74,All,10.37,8.50,12.65,7167,69120
IN-JK,Jammu and Kashmir,Both,Urban,70-74,None,14.52,11.91,17.71,2007,13824
IN-JK,Jammu and Kashmir,Both,Urban,70-74,Primary,10.89,8.93,13.29,1505,13824
IN-JK,Jammu and Kashmir,Both,Urban,70-74,Middle,8.30,6.81,10.13,1147,13824
IN-JK,Jammu and Kashmir,Both,Urban,70-74,Secondary,6.22,5.10,7.59,859,13824
IN-JK,Jammu and Kashmir,Both,Urban,70-74,Higher,4.67,3.83,5.70,645,13824
IN-JK,Jammu and Kashmir,Both,Urban,75-79,All,15.33,12.57,18.70,10596,69120
IN-JK,Jammu and Kashmir,Both,Urban,75-79,None,21.47,17.61,26.19,2968,13824
IN-JK,Jammu and Kashmir,Both,Urban,75-79,Primary,16.10,13.20,19.64,2225,13824
IN-JK,Jammu and Kashmir,Both,Urban,75-79,Middle,12.27,10.06,14.97,1696,13824
IN-JK,Jammu and Kashmir,Both,Urban,75-79,Secondary,9.20,7.54,11.22,1271,13824
IN-JK,Jammu and Kashmir,Both,Urban,75-79,Higher,6.90,5.66,8.42,953,13824
IN-JK,Jammu and Kashmir,Both,Urban,80-84,All,21.65,17.75,26.41,14964,69120
IN-JK,Jammu and Kashmir,Both,Urban,80-84,None,30.31,24.85,36.98,4190,13824
IN-JK,Jammu and Kashmir,Both,Urban,80-84,Primary,22.73,18.64,27.73,3142,13824
IN-JK,Jammu and Kashmir,Both,Urban,80-84,Middle,17.32,14.20,21.13,2394,13824
IN-JK,Jammu and Kashmir,Both,Urban,80-84,Secondary,12.99,10.65,15.85,1795,13824
IN-JK,Jammu and Kashmir,Both,Urban,80-84,Higher,9.74,7.99,11.88,1346,13824
IN-JK,Jammu and Kashmir,Both,Urban,85+,All,29.77,24.41,36.32,20577,69120
IN-JK,Jammu and Kashmir,Both,Urban,85+,None,35.00,28.70,42.70,4838,13824
IN-JK,Jammu and Kashmir,Both,Urban,85+,Primary,31.25,25.63,38.13,4320,13824
IN-JK,Jammu and Kashmir,Both,Urban,85+,Middle,23.81,19.52,29.05,3291,13824
IN-JK,Jammu and Kashmir,Both,Urban,85+,Secondary,17.86,14.65,21.79,2468,13824
IN-JK,Jammu and Kashmir,Both,Urban,85+,Higher,13.39,10.98,16.34,1851,13824
IN-JK,Jammu and Kashmir,Both,Rural,60+,All,13.42,11.00,16.37,109507,816000
IN-JK,Jammu and Kashmir,Both,Rural,60+,None,18.79,15.41,22.92,30665,163200
IN-JK,Jammu and Kashmir,Both,Rural,60+,Primary,14.09,11.55,17.19,22994,163200
IN-JK,Jammu and Kashmir,Both,Rural,60+,Middle,10.74,8.81,13.10,17527,163200
IN-JK,Jammu and Kashmir,Both,Rural,60+,Secondary,8.05,6.60,9.82,13137,163200
IN-JK,Jammu and Kashmir,Both,Rural,60+,Higher,6.04,4.95,7.37,9857,163200
IN-JK,Jammu and Kashmir,Both,Rural,60-64,All,6.04,4.95,7.37,8871,146880
IN-JK,Jammu and Kashmir,Both,Rural,60-64,None,8.45,6.93,10.31,2482,29376
IN-JK,Jammu and Kashmir,Both,Rural,60-64,Primary,6.34,5.20,7.73,1862,29376
IN-JK,Jammu and Kashmir,Both,Rural,60-64,Middle,4.83,3.96,5.89,1418,29376
IN-JK,Jammu and Kashmir,Both,Rural,60-64,Secondary,3.62,2.97,4.42,1063,29376
IN-JK,Jammu and Kashmir,Both,Rural,60-64,Higher,2.72,2.23,3.32,799,29376
IN-JK,Jammu and Kashmir,Both,Rural,65-69,All,10.07,8.26,12.29,14790,146880
IN-JK,Jammu and Kashmir,Both,Rural,65-69,None,14.09,11.55,17.19,4139,29376
IN-JK,Jammu and Kashmir,Both,Rural,65-69,Primary,10.57,8.67,12.90,3105,29376
IN-JK,Jammu and Kashmir,Both,Rural,65-69,Middle,8.05,6.60,9.82,2364,29376
IN-JK,Jammu and Kashmir,Both,Rural,65-69,Secondary,6.04,4.95,7.37,1774,29376
IN-JK,Jammu and Kashmir,Both,Rural,65-69,Higher,4.53,3.71,5.53,1330,29376
IN-JK,Jammu and Kashmir,Both,Rural,70-74,All,15.43,12.65,18.82,22663,146880
IN-JK,Jammu and Kashmir,Both,Rural,70-74,None,21.61,17.72,26.36,6348,29376
IN-JK,Jammu and Kashmir,Both,Rural,70-74,Primary,16.20,13.28,19.76,4758,29376
IN-JK,Jammu and Kashmir,Both,Rural,70-74,Middle,12.35,10.13,15.07,3627,29376
IN-JK,Jammu and Kashmir,Both,Rural,70-74,Secondary,9.26,7.59,11.30,2720,29376
IN-JK,Jammu and Kashmir,Both,Rural,70-74,Higher,6.94,5.69,8.47,2038,29376
IN-JK,Jammu and Kashmir,Both,Rural,75-79,All,22.81,18.70,27.83,33503,146880
IN-JK,Jammu and Kashmir,Both,Rural,75-79,None,31.94,26.19,38.97,9382,29376
IN-JK,Jammu and Kashmir,Both,Rural,75-79,Primary,23.95,19.64,29.22,7035,29376
IN-JK,Jammu and Kashmir,Both,Rural,75-79,Middle,18.25,14.97,22.27,5361,29376
IN-JK,Jammu and Kashmir,Both,Rural,75-79,Secondary,13.69,11.23,16.70,4021,29376
IN-JK,Jammu and Kashmir,Both,Rural,75-79,Higher,10.27,8.42,12.53,3016,29376
IN-JK,Jammu and Kashmir,Both,Rural,80-84,All,32.21,26.41,39.30,47310,146880
IN-JK,Jammu and Kashmir,Both,Rural,80-84,None,35.00,28.70,42.70,10281,29376
IN-JK,Jammu and Kashmir,Both,Rural,80-84,Primary,33.82,27.73,41.26,9934,29376
IN-JK,Jammu and Kashmir,Both,Rural,80-84,Middle,25.77,21.13,31.44,7570,29376
IN-JK,Jammu and Kashmir,Both,Rural,80-84,Secondary,19.32,15.84,23.57,5675,29376
IN-JK,Jammu and Kashmir,Both,Rural,80-84,Higher,14.49,11.88,17.68,4256,29376
IN-JK,Jammu and Kashmir,Both,Rural,85+,All,35.00,28.70,42.70,51408,146880
IN-JK,Jammu and Kashmir,Both,Rural,85+,None,35.00,28.70,42.70,10281,29376
IN-JK,Jammu and Kashmir,Both,Rural,85+,Primary,35.00,28.70,42.70,10281,29376
IN-JK,Jammu and Kashmir,Both,Rural,85+,Middle,35.00,28.70,42.70,10281,29376
IN-JK,Jammu and Kashmir,Both,Rural,85+,Secondary,26.57,21.79,32.42,7805,29376
IN-JK,Jammu and Kashmir,Both,Rural,85+,Higher,19.93,16.34,24.31,5854,29376
IN-JK,Jammu and Kashmir,Male,All,60+,All,9.35,7.67,11.41,56100,600000
IN-JK,Jammu and Kashmir,Male,All,60+,None,13.09,10.73,15.97,15707,120000
IN-JK,Jammu and Kashmir,Male,All,60+,Primary,9.82,8.05,11.98,11784,120000
IN-JK,Jammu and Kashmir,Male,All,60+,Middle,7.48,6.13,9.13,8976,120000
IN-JK,Jammu and Kashmir,Male,All,60+,Secondary,5.61,4.60,6.84,6732,120000
IN-JK,Jammu and Kashmir,Male,All,60+,Higher,4.21,3.45,5.14,5052,120000
IN-JK,Jammu and Kashmir,Male,All,60-64,All,4.21,3.45,5.14,4546,108000
IN-JK,Jammu and Kashmir,Male,All,60-64,None,5.89,4.83,7.19,1272,21600
IN-JK,Jammu and Kashmir,Male,All,60-64,Primary,4.42,3.62,5.39,954,21600
IN-JK,Jammu and Kashmir,Male,All,60-64,Middle,3.37,2.76,4.11,727,21600
IN-JK,Jammu and Kashmir,Male,All,60-64,Secondary,2.52,2.07,3.07,544,21600
IN-JK,Jammu and Kashmir,Male,All,60-64,Higher,1.89,1.55,2.31,408,21600
IN-JK,Jammu and Kashmir,Male,All,65-69,All,7.01,5.75,8.55,7570,108000
IN-JK,Jammu and Kashmir,Male,All,65-69,None,9.82,8.05,11.98,2121,21600
IN-JK,Jammu and Kashmir,Male,All,65-69,Primary,7.36,6.04,8.98,1589,21600
IN-JK,Jammu and Kashmir,Male,All,65-69,Middle,5.61,4.60,6.84,1211,21600
IN-JK,Jammu and Kashmir,Male,All,65-69,Secondary,4.21,3.45,5.14,909,21600
IN-JK,Jammu and Kashmir,Male,All,65-69,Higher,3.16,2.59,3.86,682,21600
IN-JK,Jammu and Kashmir,Male,All,70-74,All,10.75,8.82,13.12,11610,108000
IN-JK,Jammu and Kashmir,Male,All,70-74,None,15.05,12.34,18.36,3250,21600
IN-JK,Jammu and Kashmir,Male,All,70-74,Primary,11.29,9.26,13.77,2438,21600
IN-JK,Jammu and Kashmir,Male,All,70-74,Middle,8.60,7.05,10.49,1857,21600
IN-JK,Jammu and Kashmir,Male,All,70-74,Secondary,6.45,5.29,7.87,1393,21600
IN-JK,Jammu and Kashmir,Male,All,70-74,Higher,4.84,3.97,5.90,1045,21600
IN-JK,Jammu and Kashmir,Male,All,75-79,All,15.89,13.03,19.39,17161,108000
IN-JK,Jammu and Kashmir,Male,All,75-79,None,22.25,18.24,27.15,4806,21600
IN-JK,Jammu and Kashmir,Male,All,75-79,Primary,16.69,13.69,20.36,3605,21600
IN-JK,Jammu and Kashmir,Male,All,75-79,Middle,12.72,10.43,15.52,2747,21600
IN-JK,Jammu and Kashmir,Male,All,75-79,Secondary,9.54,7.82,11.64,2060,21600
IN-JK,Jammu and Kashmir,Male,All,75-79,Higher,7.15,5.86,8.72,1544,21600
IN-JK,Jammu and Kashmir,Male,All,80-84,All,22.44,18.40,27.38,24235,108000
IN-JK,Jammu and Kashmir,Male,All,80-84,None,31.42,25.76,38.33,6786,21600
IN-JK,Jammu and Kashmir,Male,All,80-84,Primary,23.56,19.32,28.74,5088,21600
IN-JK,Jammu and Kashmir,Male,All,80-84,Middle,17.95,14.72,21.90,3877,21600
IN-JK,Jammu and Kashmir,Male,All,80-84,Secondary,13.46,11.04,16.42,2907,21600
IN-JK,Jammu and Kashmir,Male,All,80-84,Higher,10.10,8.28,12.32,2181,21600
IN-JK,Jammu and Kashmir,Male,All,85+,All,30.85,25.30,37.64,33318,108000
IN-JK,Jammu and Kashmir,Male,All,85+,None,35.00,28.70,42.70,7559,21600
IN-JK,Jammu and Kashmir,Male,All,85+,Primary,32.40,26.57,39.53,6998,21600
IN-JK,Jammu and Kashmir,Male,All,85+,Middle,24.68,20.24,30.11,5330,21600
IN-JK,Jammu and Kashmir,Male,All,85+,Secondary,18.51,15.18,22.58,3998,21600
IN-JK,Jammu and Kashmir,Male,All,85+,Higher,13.88,11.38,16.93,2998,21600
IN-JK,Jammu and Kashmir,Male,Urban,60+,All,7.67,6.29,9.36,14726,192000
IN-JK,Jammu and Kashmir,Male,Urban,60+,None,10.73,8.80,13.09,4120,38400
IN-JK,Jammu and Kashmir,Male,Urban,60+,Primary,8.05,6.60,9.82,3091,38400
IN-JK,Jammu and Kashmir,Male,Urban,60+,Middle,6.13,5.03,7.48,2353,38400
IN-JK,Jammu and Kashmir,Male,Urban,60+,Secondary,4.60,3.77,5.61,1766,38400
IN-JK,Jammu and Kashmir,Male,Urban,60+,Higher,3.45,2.83,4.21,1324,38400
IN-JK,Jammu and Kashmir,Male,Urban,60-64,All,3.45,2.83,4.21,1192,34560
IN-JK,Jammu and Kashmir,Male,Urban,60-64,None,4.83,3.96,5.89,333,6912
IN-JK,Jammu and Kashmir,Male,Urban,60-64,Primary,3.62,2.97,4.42,250,6912
IN-JK,Jammu and Kashmir,Male,Urban,60-64,Middle,2.76,2.26,3.37,190,6912
IN-JK,Jammu and Kashmir,Male,Urban,60-64,Secondary,2.07,1.70,2.53,143,6912
IN-JK,Jammu and Kashmir,Male,Urban,60-64,Higher,1.55,1.27,1.89,107,6912
IN-JK,Jammu and Kashmir,Male,Urban,65-69,All,5.75,4.72,7.02,1987,34560
IN-JK,Jammu and Kashmir,Male,Urban,65-69,None,8.05,6.60,9.82,556,6912
IN-JK,Jammu and Kashmir,Male,Urban,65-69,Primary,6.04,4.95,7.37,417,6912
IN-JK,Jammu and Kashmir,Male,Urban,65-69,Middle,4.60,3.77,5.61,317,6912
IN-JK,Jammu and Kashmir,Male,Urban,65-69,Secondary,3.45,2.83,4.21,238,6912
IN-JK,Jammu and Kashmir,Male,Urban,65-69,Higher,2.59,2.12,3.16,179,6912
IN-JK,Jammu and Kashmir,Male,Urban,70-74,All,8.82,7.23,10.76,3048,34560
IN-JK,Jammu and Kashmir,Male,Urban,70-74,None,12.34,10.12,15.05,852,6912
IN-JK,Jammu and Kashmir,Male,Urban,70-74,Primary,9.26,7.59,11.30,640,6912
IN-JK,Jammu and Kashmir,Male,Urban,70-74,Middle,7.05,5.78,8.60,487,6912
IN-JK,Jammu and Kashmir,Male,Urban,70-74,Secondary,5.29,4.34,6.45,365,6912
IN-JK,Jammu and Kashmir,Male,Urban,70-74,Higher,3.97,3.26,4.84,274,6912
IN-JK,Jammu and Kashmir,Male,Urban,75-79,All,13.03,10.68,15.90,4503,34560
IN-JK,Jammu and Kashmir,Male,Urban,75-79,None,18.25,14.97,22.27,1261,6912
IN-JK,Jammu and Kashmir,Male,Urban,75-79,Primary,13.69,11.23,16.70,946,6912
IN-JK,Jammu and Kashmir,Male,Urban,75-79,Middle,10.43,8.55,12.72,720,6912
IN-JK,Jammu and Kashmir,Male,Urban,75-79,Secondary,7.82,6.41,9.54,540,6912
IN-JK,Jammu and Kashmir,Male,Urban,75-79,Higher,5.87,4.81,7.16,405,6912
IN-JK,Jammu and Kashmir,Male,Urban,80-84,All,18.40,15.09,22.45,6359,34560
IN-JK,Jammu and Kashmir,Male,Urban,80-84,None,25.76,21.12,31.43,1780,6912
IN-JK,Jammu and Kashmir,Male,Urban,80-84,Primary,19.32,15.84,23.57,1335,6912
IN-JK,Jammu and Kashmir,Male,Urban,80-84,Middle,14.72,12.07,17.96,1017,6912
IN-JK,Jammu and Kashmir,Male,Urban,80-84,Secondary,11.04,9.05,13.47,763,6912
IN-JK,Jammu and Kashmir,Male,Urban,80-84,Higher,8.28,6.79,10.10,572,6912
IN-JK,Jammu and Kashmir,Male,Urban,85+,All,25.30,20.75,30.87,8743,34560
IN-JK,Jammu and Kashmir,Male,Urban,85+,None,35.00,28.70,42.70,2419,6912
IN-JK,Jammu and Kashmir,Male,Urban,85+,Primary,26.57,21.79,32.42,1836,6912
IN-JK,Jammu and Kashmir,Male,Urban,85+,Middle,20.24,16.60,24.69,1398,6912
IN-JK,Jammu and Kashmir,Male,Urban,85+,Secondary,15.18,12.45,18.52,1049,6912
IN-JK,Jammu and Kashmir,Male,Urban,85+,Higher,11.39,9.34,13.90,787,6912
IN-JK,Jammu and Kashmir,Male,Rural,60+,All,11.41,9.36,13.92,46552,408000
IN-JK,Jammu and Kashmir,Male,Rural,60+,None,15.97,13.10,19.48,13031,81600
IN-JK,Jammu and Kashmir,Male,Rural,60+,Primary,11.98,9.82,14.62,9775,81600
IN-JK,Jammu and Kashmir,Male,Rural,60+,Middle,9.13,7.49,11.14,7450,81600
IN-JK,Jammu and Kashmir,Male,Rural,60+,Secondary,6.84,5.61,8.34,5581,81600
IN-JK,Jammu and Kashmir,Male,Rural,60+,Higher,5.13,4.21,6.26,4186,81600
IN-JK,Jammu and Kashmir,Male,Rural,60-64,All,5.13,4.21,6.26,3767,73440
IN-JK,Jammu and Kashmir,Male,Rural,60-64,None,7.19,5.90,8.77,1056,14688
IN-JK,Jammu and Kashmir,Male,Rural,60-64,Primary,5.39,4.42,6.58,791,14688
IN-JK,Jammu and Kashmir,Male,Rural,60-64,Middle,4.11,3.37,5.01,603,14688
IN-JK,Jammu and Kashmir,Male,Rural,60-64,Secondary,3.08,2.53,3.76,452,14688
IN-JK,Jammu and Kashmir,Male,Rural,60-64,Higher,2.31,1.89,2.82,339,14688
IN-JK,Jammu and Kashmir,Male,Rural,65-69,All,8.56,7.02,10.44,6286,73440
IN-JK,Jammu and Kashmir,Male,Rural,65-69,None,11.98,9.82,14.62,1759,14688
IN-JK,Jammu and Kashmir,Male,Rural,65-69,Primary,8.98,7.36,10.96,1318,14688
IN-JK,Jammu and Kashmir,Male,Rural,65-69,Middle,6.84,5.61,8.34,1004,14688
IN-JK,Jammu and Kashmir,Male,Rural,65-69,Secondary,5.13,4.21,6.26,753,14688
IN-JK,Jammu and Kashmir,Male,Rural,65-69,Higher,3.85,3.16,4.70,565,14688
IN-JK,Jammu and Kashmir,Male,Rural,70-74,All,13.12,10.76,16.01,9635,73440
IN-JK,Jammu and Kashmir,Male,Rural,70-74,None,18.37,15.06,22.41,2698,14688
IN-JK,Jammu and Kashmir,Male,Rural,70-74,Primary,13.77,11.29,16.80,2022,14688
IN-JK,Jammu and Kashmir,Male,Rural,70-74,Middle,10.49,8.60,12.80,1540,14688
IN-JK,Jammu and Kashmir,Male,Rural,70-74,Secondary,7.87,6.45,9.60,1155,14688
IN-JK,Jammu and Kashmir,Male,Rural,70-74,Higher,5.90,4.84,7.20,866,14688
IN-JK,Jammu and Kashmir,Male,Rural,75-79,All,19.39,15.90,23.66,14240,73440
IN-JK,Jammu and Kashmir,Male,Rural,75-79,None,27.15,22.26,33.12,3987,14688
IN-JK,Jammu and Kashmir,Male,Rural,75-79,Primary,20.36,16.70,24.84,2990,14688
IN-JK,Jammu and Kashmir,Male,Rural,75-79,Middle,15.51,12.72,18.92,2278,14688
IN-JK,Jammu and Kashmir,Male,Rural,75-79,Secondary,11.64,9.54,14.20,1709,14688
IN-JK,Jammu and Kashmir,Male,Rural,75-79,Higher,8.73,7.16,10.65,1282,14688
IN-JK,Jammu and Kashmir,Male,Rural,80-84,All,27.38,22.45,33.40,20107,73440
IN-JK,Jammu and Kashmir,Male,Rural,80-84,None,35.00,28.70,42.70,5140,14688
IN-JK,Jammu and Kashmir,Male,Rural,80-84,Primary,28.75,23.58,35.07,4222,14688
IN-JK,Jammu and Kashmir,Male,Rural,80-84,Middle,21.90,17.96,26.72,3216,14688
IN-JK,Jammu and Kashmir,Male,Rural,80-84,Secondary,16.43,13.47,20.04,2413,14688
IN-JK,Jammu and Kashmir,Male,Rural,80-84,Higher,12.32,10.10,15.03,1809,14688
IN-JK,Jammu and Kashmir,Male,Rural,85+,All,35.00,28.70,42.70,25704,73440
IN-JK,Jammu and Kashmir,Male,Rural,85+,None,35.00,28.70,42.70,5140,14688
IN-JK,Jammu and Kashmir,Male,Rural,85+,Primary,35.00,28.70,42.70,5140,14688
IN-JK,Jammu and Kashmir,Male,Rural,85+,Middle,30.11,24.69,36.73,4422,14688
IN-JK,Jammu and Kashmir,Male,Rural,85+,Secondary,22.59,18.52,27.56,3318,14688
IN-JK,Jammu and Kashmir,Male,Rural,85+,Higher,16.94,13.89,20.67,2488,14688
IN-JK,Jammu and Kashmir,Female,All,60+,All,12.65,10.37,15.43,75900,600000
IN-JK,Jammu and Kashmir,Female,All,60+,None,17.71,14.52,21.61,21252,120000
IN-JK,Jammu and Kashmir,Female,All,60+,Primary,13.28,10.89,16.20,15936,120000
IN-JK,Jammu and Kashmir,Female,All,60+,Middle,10.12,8.30,12.35,12144,120000
IN-JK,Jammu and Kashmir,Female,All,60+,Secondary,7.59,6.22,9.26,9108,120000
IN-JK,Jammu and Kashmir,Female,All,60+,Higher,5.69,4.67,6.94,6828,120000
IN-JK,Jammu and Kashmir,Female,All,60-64,All,5.69,4.67,6.94,6145,108000
IN-JK,Jammu and Kashmir,Female,All,60-64,None,7.97,6.54,9.72,1721,21600
IN-JK,Jammu and Kashmir,Female,All,60-64,Primary,5.98,4.90,7.30,1291,21600
IN-JK,Jammu and Kashmir,Female,All,60-64,Middle,4.55,3.73,5.55,982,21600
IN-JK,Jammu and Kashmir,Female,All,60-64,Secondary,3.42,2.80,4.17,738,21600
IN-JK,Jammu and Kashmir,Female,All,60-64,Higher,2.56,2.10,3.12,552,21600
IN-JK,Jammu and Kashmir,Female,All,65-69,All,9.49,7.78,11.58,10249,108000
IN-JK,Jammu and Kashmir,Female,All,65-69,None,13.28,10.89,16.20,2868,21600
IN-JK,Jammu and Kashmir,Female,All,65-69,Primary,9.96,8.17,12.15,2151,21600
IN-JK,Jammu and Kashmir,Female,All,65-69,Middle,7.59,6.22,9.26,1639,21600
IN-JK,Jammu and Kashmir,Female,All,65-69,Secondary,5.69,4.67,6.94,1229,21600
IN-JK,Jammu and Kashmir,Female,All,65-69,Higher,4.27,3.50,5.21,922,21600
IN-JK,Jammu and Kashmir,Female,All,70-74,All,14.55,11.93,17.75,15714,108000
IN-JK,Jammu and Kashmir,Female,All,70-74,None,20.37,16.70,24.85,4399,21600
IN-JK,Jammu and Kashmir,Female,All,70-74,Primary,15.27,12.52,18.63,3298,21600
IN-JK,Jammu and Kashmir,Female,All,70-74,Middle,11.64,9.54,14.20,2514,21600
IN-JK,Jammu and Kashmir,Female,All,70-74,Secondary,8.73,7.16,10.65,1885,21600
IN-JK,Jammu and Kashmir,Female,All,70-74,Higher,6.55,5.37,7.99,1414,21600
IN-JK,Jammu and Kashmir,Female,All,75-79,All,21.51,17.64,26.24,23230,108000
IN-JK,Jammu and Kashmir,Female,All,75-79,None,30.11,24.69,36.73,6503,21600
IN-JK,Jammu and Kashmir,Female,All,75-79,Primary,22.58,18.52,27.55,4877,21600
IN-JK,Jammu and Kashmir,Female,All,75-79,Middle,17.20,14.10,20.98,3715,21600
IN-JK,Jammu and Kashmir,Female,All,75-79,Secondary,12.90,10.58,15.74,2786,21600
IN-JK,Jammu and Kashmir,Female,All,75-79,Higher,9.68,7.94,11.81,2090,21600
IN-JK,Jammu and Kashmir,Female,All,80-84,All,30.36,24.90,37.04,32788,108000
IN-JK,Jammu and Kashmir,Female,All,80-84,None,35.00,28.70,42.70,7559,21600
IN-JK,Jammu and Kashmir,Female,All,80-84,Primary,31.88,26.14,38.89,6886,21600
IN-JK,Jammu and Kashmir,Female,All,80-84,Middle,24.29,19.92,29.63,5246,21600
IN-JK,Jammu and Kashmir,Female,All,80-84,Secondary,18.22,14.94,22.23,3935,21600
IN-JK,Jammu and Kashmir,Female,All,80-84,Higher,13.66,11.20,16.67,2950,21600
