country_code,country_name,region,year,sex,age_group,measure,value,lower,upper,unit,source
FRA,France,Europe,1992,Both,60+,Prevalence,8.72,7.41,10.29,Percent,GBD 2021
ITA,Italy,Europe,1992,Both,60+,Prevalence,9.23,7.85,10.89,Percent,GBD 2021
KOR,South Korea,Asia,1992,Both,60+,Prevalence,8.01,6.81,9.45,Percent,GBD 2021
PAK,Pakistan,Asia,1992,Both,60+,Prevalence,5.88,5.00,6.94,Percent,GBD 2021
BGD,Bangladesh,Asia,1992,Both,60+,Prevalence,5.68,4.83,6.70,Percent,GBD 2021
AUS,Australia,Oceania,1992,Both,60+,Prevalence,8.42,7.16,9.94,Percent,GBD 2021
IND,India,Asia,1993,Both,60+,Prevalence,7.56,6.43,8.92,Percent,GBD 2021
CHN,China,Asia,1993,Both,60+,Prevalence,7.35,6.25,8.67,Percent,GBD 2021
USA,United States,Americas,1993,Both,60+,Prevalence,8.58,7.29,10.12,Percent,GBD 2021
JPN,Japan,Asia,1993,Both,60+,Prevalence,10.41,8.85,12.28,Percent,GBD 2021
IDN,Indonesia,Asia,1993,Both,60+,Prevalence,6.23,5.30,7.35,Percent,GBD 2021
BRA,Brazil,Americas,1993,Both,60+,Prevalence,7.96,6.77,9.39,Percent,GBD 2021
NGA,Nigeria,Africa,1993,Both,60+,Prevalence,5.00,4.25,5.90,Percent,GBD 2021
DEU,Germany,Europe,1993,Both,60+,Prevalence,9.09,7.73,10.73,Percent,GBD 2021
GBR,United Kingdom,Europe,1993,Both,60+,Prevalence,8.68,7.38,10.24,Percent,GBD 2021
FRA,France,Europe,1993,Both,60+,Prevalence,8.78,7.46,10.36,Percent,GBD 2021
ITA,Italy,Europe,1993,Both,60+,Prevalence,9.29,7.90,10.96,Percent,GBD 2021
KOR,South Korea,Asia,1993,Both,60+,Prevalence,8.07,6.86,9.52,Percent,GBD 2021
PAK,Pakistan,Asia,1993,Both,60+,Prevalence,5.92,5.03,6.99,Percent,GBD 2021
BGD,Bangladesh,Asia,1993,Both,60+,Prevalence,5.72,4.86,6.75,Percent,GBD 2021
AUS,Australia,Oceania,1993,Both,60+,Prevalence,8.47,7.20,9.99,Percent,GBD 2021
IND,India,Asia,1994,Both,60+,Prevalence,7.61,6.47,8.98,Percent,GBD 2021
CHN,China,Asia,1994,Both,60+,Prevalence,7.40,6.29,8.73,Percent,GBD 2021
USA,United States,Americas,1994,Both,60+,Prevalence,8.64,7.34,10.20,Percent,GBD 2021
JPN,Japan,Asia,1994,Both,60+,Prevalence,10.49,8.92,12.38,Percent,GBD 2021
IDN,Indonesia,Asia,1994,Both,60+,Prevalence,6.27,5.33,7.40,Percent,GBD 2021
BRA,Brazil,Americas,1994,Both,60+,Prevalence,8.02,6.82,9.46,Percent,GBD 2021
NGA,Nigeria,Africa,1994,Both,60+,Prevalence,5.04,4.28,5.95,Percent,GBD 2021
DEU,Germany,Europe,1994,Both,60+,Prevalence,9.15,7.78,10.80,Percent,GBD 2021
GBR,United Kingdom,Europe,1994,Both,60+,Prevalence,8.74,7.43,10.31,Percent,GBD 2021
FRA,France,Europe,1994,Both,60+,Prevalence,8.84,7.51,10.43,Percent,GBD 2021
ITA,Italy,Europe,1994,Both,60+,Prevalence,9.35,7.95,11.03,Percent,GBD 2021
KOR,South Korea,Asia,1994,Both,60+,Prevalence,8.12,6.90,9.58,Percent,GBD 2021
PAK,Pakistan,Asia,1994,Both,60+,Prevalence,5.96,5.07,7.03,Percent,GBD 2021
BGD,Bangladesh,Asia,1994,Both,60+,Prevalence,5.76,4.90,6.80,Percent,GBD 2021
AUS,Australia,Oceania,1994,Both,60+,Prevalence,8.53,7.25,10.07,Percent,GBD 2021
IND,India,Asia,1995,Both,60+,Prevalence,7.66,6.51,9.04,Percent,GBD 2021
CHN,China,Asia,1995,Both,60+,Prevalence,7.45,6.33,8.79,Percent,GBD 2021
USA,United States,Americas,1995,Both,60+,Prevalence,8.69,7.39,10.25,Percent,GBD 2021
JPN,Japan,Asia,1995,Both,60+,Prevalence,10.56,8.98,12.46,Percent,GBD 2021
IDN,Indonesia,Asia,1995,Both,60+,Prevalence,6.31,5.36,7.45,Percent,GBD 2021
BRA,Brazil,Americas,1995,Both,60+,Prevalence,8.07,6.86,9.52,Percent,GBD 2021
NGA,Nigeria,Africa,1995,Both,60+,Prevalence,5.07,4.31,5.98,Percent,GBD 2021
DEU,Germany,Europe,1995,Both,60+,Prevalence,9.21,7.83,10.87,Percent,GBD 2021
GBR,United Kingdom,Europe,1995,Both,60+,Prevalence,8.80,7.48,10.38,Percent,GBD 2021
FRA,France,Europe,1995,Both,60+,Prevalence,8.90,7.57,10.50,Percent,GBD 2021
ITA,Italy,Europe,1995,Both,60+,Prevalence,9.42,8.01,11.12,Percent,GBD 2021
KOR,South Korea,Asia,1995,Both,60+,Prevalence,8.18,6.95,9.65,Percent,GBD 2021
PAK,Pakistan,Asia,1995,Both,60+,Prevalence,6.00,5.10,7.08,Percent,GBD 2021
BGD,Bangladesh,Asia,1995,Both,60+,Prevalence,5.80,4.93,6.84,Percent,GBD 2021
AUS,Australia,Oceania,1995,Both,60+,Prevalence,8.59,7.30,10.14,Percent,GBD 2021
IND,India,Asia,1996,Both,60+,Prevalence,7.71,6.55,9.10,Percent,GBD 2021
CHN,China,Asia,1996,Both,60+,Prevalence,7.50,6.38,8.85,Percent,GBD 2021
USA,United States,Americas,1996,Both,60+,Prevalence,8.75,7.44,10.33,Percent,GBD 2021
JPN,Japan,Asia,1996,Both,60+,Prevalence,10.63,9.04,12.54,Percent,GBD 2021
IDN,Indonesia,Asia,1996,Both,60+,Prevalence,6.36,5.41,7.50,Percent,GBD 2021
BRA,Brazil,Americas,1996,Both,60+,Prevalence,8.13,6.91,9.59,Percent,GBD 2021
NGA,Nigeria,Africa,1996,Both,60+,Prevalence,5.11,4.34,6.03,Percent,GBD 2021
DEU,Germany,Europe,1996,Both,60+,Prevalence,9.27,7.88,10.94,Percent,GBD 2021
GBR,United Kingdom,Europe,1996,Both,60+,Prevalence,8.86,7.53,10.45,Percent,GBD 2021
FRA,France,Europe,1996,Both,60+,Prevalence,8.96,7.62,10.57,Percent,GBD 2021
ITA,Italy,Europe,1996,Both,60+,Prevalence,9.48,8.06,11.19,Percent,GBD 2021
KOR,South Korea,Asia,1996,Both,60+,Prevalence,8.23,7.00,9.71,Percent,GBD 2021
PAK,Pakistan,Asia,1996,Both,60+,Prevalence,6.04,5.13,7.13,Percent,GBD 2021
BGD,Bangladesh,Asia,1996,Both,60+,Prevalence,5.84,4.96,6.89,Percent,GBD 2021
AUS,Australia,Oceania,1996,Both,60+,Prevalence,8.65,7.35,10.21,Percent,GBD 2021
IND,India,Asia,1997,Both,60+,Prevalence,7.76,6.60,9.16,Percent,GBD 2021
CHN,China,Asia,1997,Both,60+,Prevalence,7.55,6.42,8.91,Percent,GBD 2021
USA,United States,Americas,1997,Both,60+,Prevalence,8.81,7.49,10.40,Percent,GBD 2021
JPN,Japan,Asia,1997,Both,60+,Prevalence,10.70,9.09,12.63,Percent,GBD 2021
IDN,Indonesia,Asia,1997,Both,60+,Prevalence,6.40,5.44,7.55,Percent,GBD 2021
BRA,Brazil,Americas,1997,Both,60+,Prevalence,8.18,6.95,9.65,Percent,GBD 2021
NGA,Nigeria,Africa,1997,Both,60+,Prevalence,5.14,4.37,6.07,Percent,GBD 2021
DEU,Germany,Europe,1997,Both,60+,Prevalence,9.34,7.94,11.02,Percent,GBD 2021
GBR,United Kingdom,Europe,1997,Both,60+,Prevalence,8.92,7.58,10.53,Percent,GBD 2021
FRA,France,Europe,1997,Both,60+,Prevalence,9.02,7.67,10.64,Percent,GBD 2021
ITA,Italy,Europe,1997,Both,60+,Prevalence,9.55,8.12,11.27,Percent,GBD 2021
KOR,South Korea,Asia,1997,Both,60+,Prevalence,8.29,7.05,9.78,Percent,GBD 2021
PAK,Pakistan,Asia,1997,Both,60+,Prevalence,6.08,5.17,7.17,Percent,GBD 2021
BGD,Bangladesh,Asia,1997,Both,60+,Prevalence,5.87,4.99,6.93,Percent,GBD 2021
AUS,Australia,Oceania,1997,Both,60+,Prevalence,8.71,7.40,10.28,Percent,GBD 2021
IND,India,Asia,1998,Both,60+,Prevalence,7.81,6.64,9.22,Percent,GBD 2021
CHN,China,Asia,1998,Both,60+,Prevalence,7.60,6.46,8.97,Percent,GBD 2021
USA,United States,Americas,1998,Both,60+,Prevalence,8.87,7.54,10.47,Percent,GBD 2021
JPN,Japan,Asia,1998,Both,60+,Prevalence,10.77,9.15,12.71,Percent,GBD 2021
IDN,Indonesia,Asia,1998,Both,60+,Prevalence,6.44,5.47,7.60,Percent,GBD 2021
BRA,Brazil,Americas,1998,Both,60+,Prevalence,8.24,7.00,9.72,Percent,GBD 2021
NGA,Nigeria,Africa,1998,Both,60+,Prevalence,5.17,4.39,6.10,Percent,GBD 2021
DEU,Germany,Europe,1998,Both,60+,Prevalence,9.40,7.99,11.09,Percent,GBD 2021
GBR,United Kingdom,Europe,1998,Both,60+,Prevalence,8.98,7.63,10.60,Percent,GBD 2021
FRA,France,Europe,1998,Both,60+,Prevalence,9.08,7.72,10.71,Percent,GBD 2021
ITA,Italy,Europe,1998,Both,60+,Prevalence,9.61,8.17,11.34,Percent,GBD 2021
KOR,South Korea,Asia,1998,Both,60+,Prevalence,8.34,7.09,9.84,Percent,GBD 2021
PAK,Pakistan,Asia,1998,Both,60+,Prevalence,6.12,5.20,7.22,Percent,GBD 2021
BGD,Bangladesh,Asia,1998,Both,60+,Prevalence,5.91,5.02,6.97,Percent,GBD 2021
AUS,Australia,Oceania,1998,Both,60+,Prevalence,8.76,7.45,10.34,Percent,GBD 2021
IND,India,Asia,1999,Both,60+,Prevalence,7.87,6.69,9.29,Percent,GBD 2021
CHN,China,Asia,1999,Both,60+,Prevalence,7.65,6.50,9.03,Percent,GBD 2021
USA,United States,Americas,1999,Both,60+,Prevalence,8.93,7.59,10.54,Percent,GBD 2021
JPN,Japan,Asia,1999,Both,60+,Prevalence,10.84,9.21,12.79,Percent,GBD 2021
IDN,Indonesia,Asia,1999,Both,60+,Prevalence,6.48,5.51,7.65,Percent,GBD 2021
BRA,Brazil,Americas,1999,Both,60+,Prevalence,8.29,7.05,9.78,Percent,GBD 2021
NGA,Nigeria,Africa,1999,Both,60+,Prevalence,5.21,4.43,6.15,Percent,GBD 2021
DEU,Germany,Europe,1999,Both,60+,Prevalence,9.46,8.04,11.16,Percent,GBD 2021
GBR,United Kingdom,Europe,1999,Both,60+,Prevalence,9.04,7.68,10.67,Percent,GBD 2021
FRA,France,Europe,1999,Both,60+,Prevalence,9.14,7.77,10.79,Percent,GBD 2021
ITA,Italy,Europe,1999,Both,60+,Prevalence,9.67,8.22,11.41,Percent,GBD 2021
KOR,South Korea,Asia,1999,Both,60+,Prevalence,8.40,7.14,9.91,Percent,GBD 2021
PAK,Pakistan,Asia,1999,Both,60+,Prevalence,6.17,5.24,7.28,Percent,GBD 2021
BGD,Bangladesh,Asia,1999,Both,60+,Prevalence,5.95,5.06,7.02,Percent,GBD 2021
AUS,Australia,Oceania,1999,Both,60+,Prevalence,8.82,7.50,10.41,Percent,GBD 2021
IND,India,Asia,2000,Both,60+,Prevalence,7.92,6.73,9.35,Percent,GBD 2021
CHN,China,Asia,2000,Both,60+,Prevalence,7.70,6.55,9.09,Percent,GBD 2021
USA,United States,Americas,2000,Both,60+,Prevalence,8.99,7.64,10.61,Percent,GBD 2021
JPN,Japan,Asia,2000,Both,60+,Prevalence,10.91,9.27,12.87,Percent,GBD 2021
IDN,Indonesia,Asia,2000,Both,60+,Prevalence,6.53,5.55,7.71,Percent,GBD 2021
BRA,Brazil,Americas,2000,Both,60+,Prevalence,8.35,7.10,9.85,Percent,GBD 2021
NGA,Nigeria,Africa,2000,Both,60+,Prevalence,5.24,4.45,6.18,Percent,GBD 2021
DEU,Germany,Europe,2000,Both,60+,Prevalence,9.52,8.09,11.23,Percent,GBD 2021
GBR,United Kingdom,Europe,2000,Both,60+,Prevalence,9.10,7.74,10.74,Percent,GBD 2021
FRA,France,Europe,2000,Both,60+,Prevalence,9.20,7.82,10.86,Percent,GBD 2021
ITA,Italy,Europe,2000,Both,60+,Prevalence,9.74,8.28,11.49,Percent,GBD 2021
KOR,South Korea,Asia,2000,Both,60+,Prevalence,8.45,7.18,9.97,Percent,GBD 2021
PAK,Pakistan,Asia,2000,Both,60+,Prevalence,6.21,5.28,7.33,Percent,GBD 2021
BGD,Bangladesh,Asia,2000,Both,60+,Prevalence,5.99,5.09,7.07,Percent,GBD 2021
AUS,Australia,Oceania,2000,Both,60+,Prevalence,8.88,7.55,10.48,Percent,GBD 2021
IND,India,Asia,2001,Both,60+,Prevalence,7.97,6.77,9.40,Percent,GBD 2021
CHN,China,Asia,2001,Both,60+,Prevalence,7.75,6.59,9.15,Percent,GBD 2021
USA,United States,Americas,2001,Both,60+,Prevalence,9.05,7.69,10.68,Percent,GBD 2021
JPN,Japan,Asia,2001,Both,60+,Prevalence,10.99,9.34,12.97,Percent,GBD 2021
IDN,Indonesia,Asia,2001,Both,60+,Prevalence,6.57,5.58,7.75,Percent,GBD 2021
BRA,Brazil,Americas,2001,Both,60+,Prevalence,8.40,7.14,9.91,Percent,GBD 2021
NGA,Nigeria,Africa,2001,Both,60+,Prevalence,5.28,4.49,6.23,Percent,GBD 2021
DEU,Germany,Europe,2001,Both,60+,Prevalence,9.59,8.15,11.32,Percent,GBD 2021
GBR,United Kingdom,Europe,2001,Both,60+,Prevalence,9.15,7.78,10.80,Percent,GBD 2021
FRA,France,Europe,2001,Both,60+,Prevalence,9.26,7.87,10.93,Percent,GBD 2021
ITA,Italy,Europe,2001,Both,60+,Prevalence,9.80,8.33,11.56,Percent,GBD 2021
KOR,South Korea,Asia,2001,Both,60+,Prevalence,8.51,7.23,10.04,Percent,GBD 2021
PAK,Pakistan,Asia,2001,Both,60+,Prevalence,6.25,5.31,7.38,Percent,GBD 2021
BGD,Bangladesh,Asia,2001,Both,60+,Prevalence,6.03,5.13,7.12,Percent,GBD 2021
AUS,Australia,Oceania,2001,Both,60+,Prevalence,8.94,7.60,10.55,Percent,GBD 2021
IND,India,Asia,2002,Both,60+,Prevalence,8.02,6.82,9.46,Percent,GBD 2021
CHN,China,Asia,2002,Both,60+,Prevalence,7.80,6.63,9.20,Percent,GBD 2021
USA,United States,Americas,2002,Both,60+,Prevalence,9.11,7.74,10.75,Percent,GBD 2021
JPN,Japan,Asia,2002,Both,60+,Prevalence,11.06,9.40,13.05,Percent,GBD 2021
IDN,Indonesia,Asia,2002,Both,60+,Prevalence,6.61,5.62,7.80,Percent,GBD 2021
BRA,Brazil,Americas,2002,Both,60+,Prevalence,8.46,7.19,9.98,Percent,GBD 2021
NGA,Nigeria,Africa,2002,Both,60+,Prevalence,5.31,4.51,6.27,Percent,GBD 2021
DEU,Germany,Europe,2002,Both,60+,Prevalence,9.65,8.20,11.39,Percent,GBD 2021
GBR,United Kingdom,Europe,2002,Both,60+,Prevalence,9.21,7.83,10.87,Percent,GBD 2021
FRA,France,Europe,2002,Both,60+,Prevalence,9.32,7.92,11.00,Percent,GBD 2021
ITA,Italy,Europe,2002,Both,60+,Prevalence,9.86,8.38,11.63,Percent,GBD 2021
KOR,South Korea,Asia,2002,Both,60+,Prevalence,8.56,7.28,10.10,Percent,GBD 2021
PAK,Pakistan,Asia,2002,Both,60+,Prevalence,6.29,5.35,7.42,Percent,GBD 2021
BGD,Bangladesh,Asia,2002,Both,60+,Prevalence,6.07,5.16,7.16,Percent,GBD 2021
AUS,Australia,Oceania,2002,Both,60+,Prevalence,9.00,7.65,10.62,Percent,GBD 2021
IND,India,Asia,2003,Both,60+,Prevalence,8.07,6.86,9.52,Percent,GBD 2021
CHN,China,Asia,2003,Both,60+,Prevalence,7.86,6.68,9.27,Percent,GBD 2021
USA,United States,Americas,2003,Both,60+,Prevalence,9.16,7.79,10.81,Percent,GBD 2021
JPN,Japan,Asia,2003,Both,60+,Prevalence,11.13,9.46,13.13,Percent,GBD 2021
IDN,Indonesia,Asia,2003,Both,60+,Prevalence,6.66,5.66,7.86,Percent,GBD 2021
BRA,Brazil,Americas,2003,Both,60+,Prevalence,8.51,7.23,10.04,Percent,GBD 2021
NGA,Nigeria,Africa,2003,Both,60+,Prevalence,5.35,4.55,6.31,Percent,GBD 2021
DEU,Germany,Europe,2003,Both,60+,Prevalence,9.71,8.25,11.46,Percent,GBD 2021
GBR,United Kingdom,Europe,2003,Both,60+,Prevalence,9.27,7.88,10.94,Percent,GBD 2021
FRA,France,Europe,2003,Both,60+,Prevalence,9.38,7.97,11.07,Percent,GBD 2021
ITA,Italy,Europe,2003,Both,60+,Prevalence,9.93,8.44,11.72,Percent,GBD 2021
KOR,South Korea,Asia,2003,Both,60+,Prevalence,8.62,7.33,10.17,Percent,GBD 2021
PAK,Pakistan,Asia,2003,Both,60+,Prevalence,6.33,5.38,7.47,Percent,GBD 2021
BGD,Bangladesh,Asia,2003,Both,60+,Prevalence,6.11,5.19,7.21,Percent,GBD 2021
AUS,Australia,Oceania,2003,Both,60+,Prevalence,9.06,7.70,10.69,Percent,GBD 2021
IND,India,Asia,2004,Both,60+,Prevalence,8.13,6.91,9.59,Percent,GBD 2021
CHN,China,Asia,2004,Both,60+,Prevalence,7.91,6.72,9.33,Percent,GBD 2021
USA,United States,Americas,2004,Both,60+,Prevalence,9.22,7.84,10.88,Percent,GBD 2021
JPN,Japan,Asia,2004,Both,60+,Prevalence,11.20,9.52,13.22,Percent,GBD 2021
IDN,Indonesia,Asia,2004,Both,60+,Prevalence,6.70,5.70,7.91,Percent,GBD 2021
BRA,Brazil,Americas,2004,Both,60+,Prevalence,8.56,7.28,10.10,Percent,GBD 2021
NGA,Nigeria,Africa,2004,Both,60+,Prevalence,5.38,4.57,6.35,Percent,GBD 2021
DEU,Germany,Europe,2004,Both,60+,Prevalence,9.77,8.30,11.53,Percent,GBD 2021
GBR,United Kingdom,Europe,2004,Both,60+,Prevalence,9.33,7.93,11.01,Percent,GBD 2021
FRA,France,Europe,2004,Both,60+,Prevalence,9.44,8.02,11.14,Percent,GBD 2021
ITA,Italy,Europe,2004,Both,60+,Prevalence,9.99,8.49,11.79,Percent,GBD 2021
KOR,South Korea,Asia,2004,Both,60+,Prevalence,8.67,7.37,10.23,Percent,GBD 2021
PAK,Pakistan,Asia,2004,Both,60+,Prevalence,6.37,5.41,7.52,Percent,GBD 2021
BGD,Bangladesh,Asia,2004,Both,60+,Prevalence,6.15,5.23,7.26,Percent,GBD 2021
AUS,Australia,Oceania,2004,Both,60+,Prevalence,9.11,7.74,10.75,Percent,GBD 2021
IND,India,Asia,2005,Both,60+,Prevalence,8.18,6.95,9.65,Percent,GBD 2021
CHN,China,Asia,2005,Both,60+,Prevalence,7.96,6.77,9.39,Percent,GBD 2021
USA,United States,Americas,2005,Both,60+,Prevalence,9.28,7.89,10.95,Percent,GBD 2021
JPN,Japan,Asia,2005,Both,60+,Prevalence,11.27,9.58,13.30,Percent,GBD 2021
IDN,Indonesia,Asia,2005,Both,60+,Prevalence,6.74,5.73,7.95,Percent,GBD 2021
BRA,Brazil,Americas,2005,Both,60+,Prevalence,8.62,7.33,10.17,Percent,GBD 2021
NGA,Nigeria,Africa,2005,Both,60+,Prevalence,5.41,4.60,6.38,Percent,GBD 2021
DEU,Germany,Europe,2005,Both,60+,Prevalence,9.83,8.36,11.60,Percent,GBD 2021
GBR,United Kingdom,Europe,2005,Both,60+,Prevalence,9.39,7.98,11.08,Percent,GBD 2021
FRA,France,Europe,2005,Both,60+,Prevalence,9.50,8.07,11.21,Percent,GBD 2021
ITA,Italy,Europe,2005,Both,60+,Prevalence,10.06,8.55,11.87,Percent,GBD 2021
KOR,South Korea,Asia,2005,Both,60+,Prevalence,8.73,7.42,10.30,Percent,GBD 2021
PAK,Pakistan,Asia,2005,Both,60+,Prevalence,6.41,5.45,7.56,Percent,GBD 2021
BGD,Bangladesh,Asia,2005,Both,60+,Prevalence,6.19,5.26,7.30,Percent,GBD 2021
AUS,Australia,Oceania,2005,Both,60+,Prevalence,9.17,7.79,10.82,Percent,GBD 2021
IND,India,Asia,2006,Both,60+,Prevalence,8.23,7.00,9.71,Percent,GBD 2021
CHN,China,Asia,2006,Both,60+,Prevalence,8.01,6.81,9.45,Percent,GBD 2021
USA,United States,Americas,2006,Both,60+,Prevalence,9.34,7.94,11.02,Percent,GBD 2021
JPN,Japan,Asia,2006,Both,60+,Prevalence,11.34,9.64,13.38,Percent,GBD 2021
IDN,Indonesia,Asia,2006,Both,60+,Prevalence,6.78,5.76,8.00,Percent,GBD 2021
BRA,Brazil,Americas,2006,Both,60+,Prevalence,8.67,7.37,10.23,Percent,GBD 2021
NGA,Nigeria,Africa,2006,Both,60+,Prevalence,5.45,4.63,6.43,Percent,GBD 2021
DEU,Germany,Europe,2006,Both,60+,Prevalence,9.90,8.42,11.68,Percent,GBD 2021
GBR,United Kingdom,Europe,2006,Both,60+,Prevalence,9.45,8.03,11.15,Percent,GBD 2021
FRA,France,Europe,2006,Both,60+,Prevalence,9.56,8.13,11.28,Percent,GBD 2021
ITA,Italy,Europe,2006,Both,60+,Prevalence,10.12,8.60,11.94,Percent,GBD 2021
KOR,South Korea,Asia,2006,Both,60+,Prevalence,8.78,7.46,10.36,Percent,GBD 2021
PAK,Pakistan,Asia,2006,Both,60+,Prevalence,6.45,5.48,7.61,Percent,GBD 2021
BGD,Bangladesh,Asia,2006,Both,60+,Prevalence,6.23,5.30,7.35,Percent,GBD 2021
AUS,Australia,Oceania,2006,Both,60+,Prevalence,9.23,7.85,10.89,Percent,GBD 2021
IND,India,Asia,2007,Both,60+,Prevalence,8.28,7.04,9.77,Percent,GBD 2021
CHN,China,Asia,2007,Both,60+,Prevalence,8.06,6.85,9.51,Percent,GBD 2021
USA,United States,Americas,2007,Both,60+,Prevalence,9.40,7.99,11.09,Percent,GBD 2021
JPN,Japan,Asia,2007,Both,60+,Prevalence,11.41,9.70,13.46,Percent,GBD 2021
IDN,Indonesia,Asia,2007,Both,60+,Prevalence,6.83,5.81,8.06,Percent,GBD 2021
BRA,Brazil,Americas,2007,Both,60+,Prevalence,8.73,7.42,10.30,Percent,GBD 2021
NGA,Nigeria,Africa,2007,Both,60+,Prevalence,5.48,4.66,6.47,Percent,GBD 2021
DEU,Germany,Europe,2007,Both,60+,Prevalence,9.96,8.47,11.75,Percent,GBD 2021
GBR,United Kingdom,Europe,2007,Both,60+,Prevalence,9.51,8.08,11.22,Percent,GBD 2021
FRA,France,Europe,2007,Both,60+,Prevalence,9.62,8.18,11.35,Percent,GBD 2021
ITA,Italy,Europe,2007,Both,60+,Prevalence,10.18,8.65,12.01,Percent,GBD 2021
KOR,South Korea,Asia,2007,Both,60+,Prevalence,8.84,7.51,10.43,Percent,GBD 2021
PAK,Pakistan,Asia,2007,Both,60+,Prevalence,6.49,5.52,7.66,Percent,GBD 2021
BGD,Bangladesh,Asia,2007,Both,60+,Prevalence,6.27,5.33,7.40,Percent,GBD 2021
AUS,Australia,Oceania,2007,Both,60+,Prevalence,9.29,7.90,10.96,Percent,GBD 2021
IND,India,Asia,2008,Both,60+,Prevalence,8.33,7.08,9.83,Percent,GBD 2021
CHN,China,Asia,2008,Both,60+,Prevalence,8.11,6.89,9.57,Percent,GBD 2021
USA,United States,Americas,2008,Both,60+,Prevalence,9.46,8.04,11.16,Percent,GBD 2021
JPN,Japan,Asia,2008,Both,60+,Prevalence,11.49,9.77,13.56,Percent,GBD 2021
IDN,Indonesia,Asia,2008,Both,60+,Prevalence,6.87,5.84,8.11,Percent,GBD 2021
BRA,Brazil,Americas,2008,Both,60+,Prevalence,8.78,7.46,10.36,Percent,GBD 2021
